"size" "max_diss" "av_diss" "diameter" "separation"
"1" 4 2.97741876949453 1.58173913894011 3.52015408774659 2.28228120841202
"2" 83 1.07953147954367 0.18887441197235 1.6842924507803 0.408650401634515
"3" 12 0.829408521860428 0.319618439932372 1.39345923127917 0.443472430051591
"4" 3 2.93371932634513 1.85462249864121 3.81516859089645 2.01025493097564
"5" 13 1.88432128353961 0.699079771694678 2.52602194325284 0.343591442538829
"6" 33 1.39511244374142 0.323146158558998 2.02527061889482 0.398325528687775
"7" 7 2.19024600717393 0.541533690715427 2.59434057126703 0.443472430051591
"8" 19 1.9486659064363 0.388486640302533 2.10667393123384 0.734192244052819
"9" 1 0 0 0 11.2618280469807
"10" 1 0 0 0 24.7265018555998
"11" 10 1.6242790031938 0.928920442020048 2.55329240540421 0.708675344080447
"12" 6 1.25367035591783 0.544863559291234 1.57406712904723 0.543088375973128
"13" 1 0 0 0 4.48613424257092
"14" 1 0 0 0 18.0969682235533
"15" 1 0 0 0 6.12484126666623
"16" 1 0 0 0 8.225695692997
"17" 1 0 0 0 4.57564769330486
"18" 1 0 0 0 26.2986110181891
"19" 9 1.20650821494803 0.672680360840911 2.30856601696828 0.343591442538829
"20" 1 0 0 0 3.28376153428843
"21" 1 0 0 0 2.41121063121159
"22" 1 0 0 0 15.3830396426866
"23" 1 0 0 0 15.3830396426866
